PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Kevin Durant,Brooklyn Nets,375,66,225,264,205,106,27,33
Trae Young,Atlanta Hawks,341,96,218,144,340,148,34,4
Stephen Curry,Golden State Warriors,320,186,167,202,227,127,53,19
Donovan Mitchell,Utah Jazz,355,124,142,145,195,112,61,8
Jayson Tatum,Boston Celtics,337,106,196,321,142,110,39,31
Giannis Antetokounmpo,Milwaukee Bucks,339,38,250,389,204,114,36,49
Zach LaVine,Chicago Bulls,343,112,150,180,158,107,23,13
DeMar DeRozan,Chicago Bulls,338,25,234,186,168,77,30,12
Nikola Jokic,Denver Nuggets,342,51,139,481,238,124,46,27
LeBron James,Los Angeles Lakers,326,87,133,223,198,97,50,34
De'Aaron Fox,Sacramento Kings,311,36,178,147,202,111,49,17
Karl-Anthony Towns,Minnesota Timberwolves,296,78,166,315,127,120,37,40
Bradley Beal,Washington Wizards,309,56,142,159,217,114,30,12
James Harden,Philadelphia 76ers,228,85,247,282,347,166,46,24
Joel Embiid,Philadelphia 76ers,250,36,250,304,125,86,32,41
Russell Westbrook,Los Angeles Lakers,297,42,149,344,342,185,47,12
Anthony Edwards,Minnesota Timberwolves,288,114,94,191,130,112,55,25
Miles Bridges,Charlotte Hornets,296,76,114,292,144,72,46,34
Domantas Sabonis,Sacramento Kings,290,31,170,486,191,125,43,16
Shai Gilgeous-Alexander,Oklahoma City Thunder,265,58,188,161,183,83,34,26
Devin Booker,Phoenix Suns,275,86,135,178,146,88,32,10
Fred VanVleet,Toronto Raptors,267,134,102,172,232,94,58,19
Julius Randle,New York Knicks,275,69,140,409,197,140,30,23
Ja Morant,Memphis Grizzlies,277,47,145,171,201,94,40,14
Bojan Bogdanovic,Utah Jazz,250,107,128,169,65,70,20,1
Desmond Bane,Memphis Grizzlies,280,125,50,187,102,63,44,20
Brandon Ingram,New Orleans Pelicans,266,54,146,195,162,89,19,11
Tyler Herro,Miami Heat,271,93,88,177,144,100,20,6
Gordon Hayward,Charlotte Hornets,256,74,122,197,154,71,38,21
Jonas Valanciunas,New Orleans Pelicans,267,38,130,459,93,93,21,35
Damian Lillard,Portland Trail Blazers,222,92,159,120,212,83,17,11
LaMelo Ball,Charlotte Hornets,252,97,92,263,275,108,59,15
Christian Wood,Houston Rockets,255,64,115,401,84,70,28,36
Darius Garland,Cleveland Cavaliers,258,93,80,116,271,130,46,3
Jaylen Brown,Boston Celtics,249,82,107,184,84,86,31,14
Jaren Jackson Jr.,Memphis Grizzlies,231,75,147,237,47,71,45,85
Dejounte Murray,San Antonio Spurs,282,52,61,296,321,88,75,16
Buddy Hield,Indiana Pacers,225,156,67,169,89,68,39,14
Andrew Wiggins,Golden State Warriors,249,80,93,158,67,60,34,21
Kelly Oubre Jr.,Charlotte Hornets,243,116,62,157,49,43,44,14
Franz Wagner,Orlando Magic,247,53,110,197,116,64,42,20
Luka Doncic,Dallas Mavericks,236,65,105,217,230,122,31,11
Paul George,Los Angeles Clippers,234,70,103,185,142,109,53,10
Jalen Brunson,Dallas Mavericks,256,42,85,150,224,66,33,2
Harrison Barnes,Sacramento Kings,198,82,157,239,90,65,28,9
Norman Powell,Los Angeles Clippers,211,75,137,98,73,52,34,15
Reggie Jackson,Los Angeles Clippers,238,97,60,129,148,83,29,5
Anthony Davis,Los Angeles Lakers,251,10,117,267,77,60,32,55
Kyle Kuzma,Washington Wizards,237,74,80,346,119,84,25,27
Jordan Clarkson,Utah Jazz,230,107,60,140,92,65,30,9
John Collins,Atlanta Hawks,229,47,105,280,69,42,24,39
Saddiq Bey,Detroit Pistons,210,93,94,251,100,60,37,8
Jrue Holiday,Milwaukee Bucks,245,60,56,153,221,91,53,20
Terry Rozier,Charlotte Hornets,223,96,60,129,114,38,40,14
Khris Middleton,Milwaukee Bucks,199,72,122,171,163,100,34,6
Jarrett Allen,Cleveland Cavaliers,240,1,105,377,64,66,31,51
Luguentz Dort,Oklahoma City Thunder,200,85,101,148,61,56,33,14
Jordan Poole,Golden State Warriors,203,85,94,105,115,81,32,9
RJ Barrett,New York Knicks,210,68,94,192,83,63,17,11
Seth Curry,Brooklyn Nets,220,80,62,119,139,67,28,5
Tyrese Haliburton,Indiana Pacers,219,87,57,161,292,93,71,31
