PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Marc Gasol,Memphis Grizzlies,260,58,179,353,162,119,29,63
Marcin Gortat,Washington Wizards,163,0,60,344,77,52,23,33
Marco Belinelli,Philadelphia 76ers,163,76,80,79,84,45,38,3
Marcus Georges-Hunt,Minnesota Timberwolves,11,2,1,5,3,2,4,0
Marcus Morris Sr.,Boston Celtics,90,29,42,114,31,24,12,7
Marcus Paige,Charlotte Hornets,0,0,0,2,0,0,0,0
Marcus Smart,Boston Celtics,141,55,74,151,197,102,55,21
Mario Chalmers,Memphis Grizzlies,97,31,63,103,115,61,45,7
Mario Hezonja,Orlando Magic,98,31,19,113,34,34,22,7
Markelle Fultz,Philadelphia 76ers,9,0,6,9,7,6,2,1
Markieff Morris,Washington Wizards,136,32,44,185,39,56,21,16
Marquese Chriss,Phoenix Suns,109,34,49,208,53,54,29,42
Marreese Speights,Orlando Magic,86,55,25,89,24,23,5,14
Marvin Williams,Charlotte Hornets,128,61,52,186,41,29,29,15
Mason Plumlee,Denver Nuggets,124,0,46,249,85,65,28,47
Matt Costello,San Antonio Spurs,1,0,0,7,0,1,0,2
Matt Williams Jr.,Miami Heat,2,1,0,1,0,1,0,0
Matthew Dellavedova,Milwaukee Bucks,44,20,13,42,103,35,7,0
Maurice Harkless,Portland Trail Blazers,77,21,24,101,25,29,26,30
Maxi Kleber,Dallas Mavericks,87,18,19,124,23,14,13,24
Meyers Leonard,Portland Trail Blazers,27,7,6,34,7,4,3,0
Michael Beasley,New York Knicks,182,13,57,175,47,69,15,18
Michael Carter-Williams,Charlotte Hornets,33,7,44,81,67,35,22,12
Michael Kidd-Gilchrist,Charlotte Hornets,144,0,55,169,40,20,25,23
Mike Conley,Memphis Grizzlies,64,24,53,27,49,18,12,3
Mike James,New Orleans Pelicans,121,26,64,89,120,48,27,7
Mike Muscala,Atlanta Hawks,30,9,16,56,9,8,9,5
Mike Scott,Washington Wizards,148,37,22,126,29,44,15,8
Miles Plumlee,Atlanta Hawks,51,0,14,90,21,29,10,10
Milos Teodosic,Los Angeles Clippers,42,24,11,43,77,32,5,3
Milton Doyle,Brooklyn Nets,6,2,2,8,4,2,2,1
Mindaugas Kuzminskas,New York Knicks,0,0,0,0,0,0,0,0
Mirza Teletovic,Milwaukee Bucks,25,21,0,23,10,7,4,1
Monte Morris,Denver Nuggets,0,0,0,0,1,0,0,0
Montrezl Harrell,Los Angeles Clippers,114,0,43,125,25,27,10,20
Myles Turner,Indiana Pacers,173,28,85,215,52,55,16,74
Nate Wolters,Utah Jazz,1,0,0,2,1,0,0,0
Naz Mitrou-Long,Utah Jazz,1,1,0,0,0,0,0,0
Nemanja Bjelica,Minnesota Timberwolves,62,26,13,71,15,17,12,4
Nene,Houston Rockets,79,0,41,89,24,23,15,9
Nerlens Noel,Dallas Mavericks,28,0,16,73,6,15,10,10
Nick Collison,Oklahoma City Thunder,5,0,3,11,3,2,0,0
Nick Young,Golden State Warriors,101,60,20,54,18,21,17,4
Nicolas Batum,Charlotte Hornets,103,28,30,109,124,50,23,9
Nicolas Brussino,Atlanta Hawks,0,0,0,3,0,0,0,0
Nik Stauskas,Brooklyn Nets,30,23,11,33,16,17,5,1
Nikola Jokic,Denver Nuggets,201,40,105,353,174,91,44,26
Nikola Mirotic,New Orleans Pelicans,103,47,42,119,26,20,8,6
Nikola Vucevic,Orlando Magic,248,48,46,315,112,64,35,38
Noah Vonleh,Chicago Bulls,44,0,21,156,12,14,6,11
Norman Powell,Toronto Raptors,95,31,29,70,56,44,28,12
O.G. Anunoby,Toronto Raptors,91,46,22,91,32,27,35,3
Okaro White,Cleveland Cavaliers,7,4,2,11,2,1,1,1
Omer Asik,Chicago Bulls,5,0,3,28,2,4,0,1
Omri Casspi,Golden State Warriors,96,9,41,153,42,27,14,18
Otto Porter Jr.,Washington Wizards,211,67,46,241,68,31,59,22
P.J. Tucker,Houston Rockets,75,45,31,243,37,38,40,12
Pascal Siakam,Toronto Raptors,108,11,22,178,69,28,34,22
Pat Connaughton,Portland Trail Blazers,97,44,26,93,51,26,8,12
Patrick Beverley,Los Angeles Clippers,48,24,14,45,32,25,19,5
Patrick McCaw,Golden State Warriors,64,15,16,59,58,23,32,6
Patrick Patterson,Oklahoma City Thunder,43,29,16,81,23,20,21,8
Patty Mills,San Antonio Spurs,138,74,50,82,124,57,30,6
Pau Gasol,San Antonio Spurs,162,34,75,338,131,59,12,44
Paul George,Oklahoma City Thunder,275,124,135,214,120,114,87,25
Paul Millsap,Denver Nuggets,90,20,45,99,50,33,17,20
Paul Zipser,Chicago Bulls,55,20,10,98,31,33,15,6
Quincy Acy,Brooklyn Nets,66,50,33,148,22,41,14,8
Quincy Pondexter,Chicago Bulls,14,3,14,24,7,11,7,2
Quinn Cook,Golden State Warriors,13,5,1,11,16,3,0,0
Rajon Rondo,New Orleans Pelicans,88,20,6,98,212,55,24,5
Ramon Sessions,Washington Wizards,17,2,12,18,27,15,7,1
Rashad Vaughn,Orlando Magic,20,12,4,15,12,1,4,3
Raul Neto,Utah Jazz,33,10,8,23,33,12,6,2
Raymond Felton,Oklahoma City Thunder,120,37,16,81,103,36,25,6
Reggie Bullock,Detroit Pistons,77,34,7,43,24,9,21,4
Reggie Jackson,Detroit Pistons,181,42,79,93,180,82,21,3
Richard Jefferson,Denver Nuggets,5,1,4,7,7,2,0,0
Richaun Holmes,Philadelphia 76ers,65,3,17,105,25,14,9,10
Ricky Rubio,Utah Jazz,164,44,98,165,197,117,64,6
Robert Covington,Philadelphia 76ers,172,105,56,220,69,69,65,26
Robin Lopez,Chicago Bulls,239,2,55,207,91,73,10,38
Rodney Hood,Cleveland Cavaliers,192,89,71,91,58,55,26,6
Ron Baker,New York Knicks,18,10,18,16,40,15,21,5
Rondae Hollis-Jefferson,Brooklyn Nets,206,9,150,264,83,61,37,27
Royce O'Neale,Utah Jazz,31,16,26,70,27,15,10,1
Rudy Gay,San Antonio Spurs,147,23,73,176,51,54,27,22
Rudy Gobert,Utah Jazz,76,0,56,172,21,35,10,41
Russell Westbrook,Oklahoma City Thunder,390,61,213,403,421,189,86,8
Ryan Anderson,Houston Rockets,142,88,44,224,38,32,18,15
Ryan Arcidiacono,Chicago Bulls,0,0,0,0,1,0,0,0
Salah Mejri,Dallas Mavericks,54,0,22,150,20,22,12,46
Sam Dekker,Los Angeles Clippers,73,7,25,104,20,20,18,7
Sean Kilpatrick,Chicago Bulls,38,16,20,44,19,18,2,1
Semi Ojeleye,Boston Celtics,29,21,13,75,9,13,13,1
Serge Ibaka,Toronto Raptors,192,53,46,217,24,42,15,57
Shabazz Muhammad,Milwaukee Bucks,38,4,13,39,7,3,5,2
Shabazz Napier,Portland Trail Blazers,130,39,62,88,83,46,49,6
Shane Larkin,Boston Celtics,40,16,17,38,35,13,10,1
Shaun Livingston,Golden State Warriors,84,0,27,60,73,30,16,11
Shelvin Mack,Orlando Magic,41,10,27,59,113,27,16,3
Sindarius Thornwell,Los Angeles Clippers,48,13,24,63,29,28,23,14
Skal Labissiere,Sacramento Kings,109,5,49,149,25,38,14,21
Spencer Dinwiddie,Brooklyn Nets,181,83,103,132,266,59,32,16
Stanley Johnson,Detroit Pistons,78,32,45,119,46,27,40,5
Stephen Curry,Golden State Warriors,246,116,174,145,179,81,47,4
Sterling Brown,Milwaukee Bucks,18,6,3,24,3,6,8,4
Steven Adams,Oklahoma City Thunder,211,0,74,317,34,57,44,36
T.J. Leaf,Indiana Pacers,44,14,3,55,6,8,5,2
T.J. McConnell,Philadelphia 76ers,108,13,14,116,160,63,43,9
T.J. Warren,Phoenix Suns,339,12,136,233,60,61,39,26
Taj Gibson,Minnesota Timberwolves,218,7,83,343,60,51,33,32
Tarik Black,Houston Rockets,50,0,19,101,8,26,13,18
Taurean Prince,Atlanta Hawks,201,78,58,233,104,93,40,28
Terrance Ferguson,Oklahoma City Thunder,28,12,1,15,6,5,12,1
Terrence Ross,Orlando Magic,72,28,26,70,35,25,27,9
Terry Rozier,Boston Celtics,149,70,41,195,89,34,44,5
Thabo Sefolosha,Utah Jazz,118,32,44,161,33,30,52,12
Thaddeus Young,Indiana Pacers,217,37,21,249,84,53,66,17
Thomas Bryant,Los Angeles Lakers,0,0,1,1,0,0,0,0
Thon Maker,Milwaukee Bucks,68,19,35,152,29,28,23,34
Tim Frazier,Washington Wizards,43,11,14,67,113,40,27,3
