PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Dion Waiters,Miami Heat,163,52,51,77,113,70,23,9
Dirk Nowitzki,Dallas Mavericks,204,72,56,236,75,31,23,18
Domantas Sabonis,Indiana Pacers,198,7,98,327,83,82,16,19
Donovan Mitchell,Utah Jazz,278,92,105,134,134,99,59,18
Dorian Finney-Smith,Dallas Mavericks,10,5,1,10,5,7,0,1
Doug McDermott,Dallas Mavericks,131,47,32,111,41,28,7,11
Dragan Bender,Phoenix Suns,88,62,16,138,51,43,11,28
Draymond Green,Golden State Warriors,144,44,75,290,280,104,51,47
Dwayne Bacon,Charlotte Hornets,41,10,10,89,20,15,9,2
Dwight Buycks,Detroit Pistons,27,6,10,13,19,16,3,1
Dwight Howard,Charlotte Hornets,226,0,166,486,58,128,25,52
Dwight Powell,Dallas Mavericks,117,12,54,197,37,26,32,16
Dwyane Wade,Miami Heat,162,19,78,146,143,73,36,27
E'Twaun Moore,New Orleans Pelicans,221,70,23,111,89,51,39,6
Ed Davis,Portland Trail Blazers,88,0,42,278,17,38,21,28
Ekpe Udoh,Utah Jazz,45,0,31,108,44,13,31,48
Elfrid Payton,Phoenix Suns,181,22,56,134,223,91,45,10
Emmanuel Mudiay,New York Knicks,100,35,55,75,95,62,16,3
Enes Freedom,New York Knicks,227,0,73,394,52,66,22,19
Eric Bledsoe,Milwaukee Bucks,215,54,121,129,140,101,71,22
Eric Gordon,Houston Rockets,253,126,137,89,102,89,28,14
Eric Moreland,Detroit Pistons,22,0,6,127,36,17,15,25
Ersan Ilyasova,Philadelphia 76ers,124,46,48,181,40,30,31,11
Evan Fournier,Orlando Magic,223,74,95,114,102,71,34,12
Evan Turner,Portland Trail Blazers,143,19,50,148,97,62,27,15
Frank Kaminsky,Charlotte Hornets,152,46,60,143,53,30,16,11
Frank Mason III,Sacramento Kings,77,18,48,62,84,38,15,4
Frank Ntilikina,New York Knicks,85,23,25,87,131,72,46,7
Fred VanVleet,Toronto Raptors,100,40,30,83,113,37,34,7
Furkan Korkmaz,Philadelphia 76ers,3,1,2,6,2,1,1,0
Garrett Temple,Sacramento Kings,113,53,31,99,71,47,36,22
Gary Harris,Denver Nuggets,249,85,59,108,123,73,71,12
Gary Payton II,Los Angeles Lakers,13,2,2,17,9,3,3,1
George Hill,Cleveland Cavaliers,124,46,61,101,91,51,30,11
Georgios Papagiannis,Portland Trail Blazers,12,0,0,22,2,3,2,3
Gerald Green,Houston Rockets,48,33,16,30,7,10,5,2
Gian Clavell,Dallas Mavericks,6,6,2,7,3,2,2,0
Giannis Antetokounmpo,Milwaukee Bucks,410,17,275,388,179,109,62,49
Goran Dragic,Miami Heat,242,57,105,161,186,93,35,8
Gordon Hayward,Boston Celtics,1,0,0,1,0,0,0,0
Gorgui Dieng,Minnesota Timberwolves,105,11,52,201,47,35,31,14
Greg Monroe,Boston Celtics,85,0,25,143,43,31,10,5
Guerschon Yabusele,Boston Celtics,11,7,2,25,5,5,0,1
Harrison Barnes,Dallas Mavericks,303,59,142,289,92,70,26,8
Hassan Whiteside,Miami Heat,135,2,50,271,15,33,18,38
Henry Ellenson,Detroit Pistons,22,9,1,35,6,9,3,0
Ian Clark,New Orleans Pelicans,65,28,17,49,44,21,13,5
Ian Mahinmi,Washington Wizards,58,0,46,155,29,49,20,20
Ike Anigbogu,Indiana Pacers,3,0,5,8,0,2,1,2
Iman Shumpert,Sacramento Kings,22,7,11,40,17,16,9,4
Isaiah Canaan,Phoenix Suns,29,12,30,26,49,14,11,0
Isaiah Taylor,Atlanta Hawks,58,9,33,47,74,30,16,8
Isaiah Thomas,Los Angeles Lakers,18,6,7,5,13,11,0,1
Isaiah Whitehead,Brooklyn Nets,30,5,11,20,18,22,7,2
Ish Smith,Detroit Pistons,173,4,37,105,156,45,21,9
Ivan Rabb,Memphis Grizzlies,3,0,0,4,1,1,0,0
Ivica Zubac,Los Angeles Lakers,5,0,0,9,1,4,0,0
J.J. Barea,Dallas Mavericks,189,74,61,134,263,86,24,2
JJ Redick,Philadelphia 76ers,205,96,103,94,117,52,18,3
JR Smith,Cleveland Cavaliers,110,71,20,123,82,37,40,4
JaKarr Sampson,Sacramento Kings,13,2,2,30,2,2,2,4
JaMychal Green,Memphis Grizzlies,101,21,37,175,32,45,17,8
JaVale McGee,Golden State Warriors,53,0,19,60,16,13,9,23
Jabari Bird,Boston Celtics,1,0,3,2,1,0,1,0
Jack Cooley,Sacramento Kings,0,0,2,1,1,0,0,0
Jacob Pullen,Philadelphia 76ers,1,0,0,0,0,1,0,0
Jacob Wiley,Brooklyn Nets,1,1,1,11,2,0,1,0
Jae Crowder,Utah Jazz,121,47,64,137,46,35,35,10
Jahlil Okafor,Brooklyn Nets,22,0,9,25,2,8,1,4
Jake Layman,Portland Trail Blazers,10,3,2,12,6,3,3,3
Jakob Poeltl,Toronto Raptors,123,1,29,184,18,32,15,44
Jalen Jones,Dallas Mavericks,1,1,2,3,0,0,0,0
Jamal Crawford,Minnesota Timberwolves,157,52,61,49,104,51,23,5
Jamal Murray,Denver Nuggets,241,77,111,145,114,86,39,13
Jameer Nelson,Detroit Pistons,70,32,13,86,137,53,22,3
Jamel Artis,Orlando Magic,4,0,1,7,4,0,0,0
James Ennis III,Detroit Pistons,94,26,57,136,41,33,25,8
James Harden,Houston Rockets,334,145,319,175,318,154,63,19
James Johnson,Miami Heat,133,28,55,168,128,72,31,23
James Michael McAdoo,Philadelphia 76ers,2,2,2,2,0,1,0,1
Jamil Wilson,Los Angeles Clippers,38,27,2,32,10,8,5,8
Jared Dudley,Phoenix Suns,16,10,9,34,28,7,8,2
Jarell Martin,Memphis Grizzlies,80,11,33,128,19,31,22,28
Jarrett Allen,Brooklyn Nets,79,2,37,139,14,25,15,31
Jarrett Jack,New York Knicks,130,14,39,143,245,79,26,2
Jason Smith,Washington Wizards,19,1,9,30,3,9,2,7
Jason Terry,Milwaukee Bucks,8,2,2,12,8,5,9,4
Jawun Evans,Los Angeles Clippers,74,12,35,68,77,35,30,6
Jaylen Brown,Boston Celtics,205,68,77,221,50,64,45,17
Jayson Tatum,Boston Celtics,209,61,134,240,59,54,42,37
Jeff Green,Cleveland Cavaliers,160,28,118,141,59,43,24,15
Jeff Teague,Minnesota Timberwolves,159,44,72,104,236,98,52,13
Jeff Withey,Dallas Mavericks,6,2,1,10,0,2,0,3
Jerami Grant,Oklahoma City Thunder,111,14,65,153,30,32,20,38
Jeremy Lamb,Charlotte Hornets,200,46,113,183,97,51,32,15
Jeremy Lin,Brooklyn Nets,5,1,7,0,4,3,0,0
Jerian Grant,Chicago Bulls,117,32,72,96,195,51,32,4
Jerryd Bayless,Philadelphia 76ers,100,51,35,73,48,41,23,6
Jimmy Butler,Minnesota Timberwolves,306,49,239,225,215,86,83,15
Joakim Noah,New York Knicks,4,0,2,13,4,3,2,2
Jodie Meeks,Washington Wizards,78,36,62,68,36,22,19,1
Joe Harris,Brooklyn Nets,147,75,32,128,58,40,20,8
