PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Blake Griffin,Detroit Pistons,325,88,215,315,200,143,28,17
Boban Marjanovic,Philadelphia 76ers,73,0,61,128,19,33,8,17
Bobby Portis,Washington Wizards,59,13,24,87,12,18,6,7
Bogdan Bogdanovic,Sacramento Kings,164,62,62,109,120,49,27,5
Bojan Bogdanovic,Indiana Pacersiana Pacers,242,83,113,168,72,68,39,0
Brad Wanamaker,Boston Celtics,18,7,9,15,25,10,6,0
Bradley Beal,Washington Wizards,391,108,160,208,207,114,56,35
Brandon Goodwin,Denver Nuggets,3,2,5,2,10,2,0,0
Brandon Ingram,Los Angeles Lakers,201,17,102,152,82,80,20,22
Brandon Knight,Cleveland Cavaliers,11,5,9,9,9,5,2,0
Brook Lopez,Milwaukee Bucks,175,105,47,161,43,41,21,81
Bruce Brown,Detroit Pistons,68,11,25,88,46,25,17,16
Bryn Forbes,San Antonio Spurs,199,95,40,116,99,51,27,2
Buddy Hield,Sacramento Kings,319,136,71,205,95,81,20,15
C.J. Williams,Minnesota Timberwolves,5,0,0,2,3,3,1,0
CJ McCollum,Portland Trail Blazers,350,84,101,156,111,65,34,16
CJ Miles,Memphis Grizzlies,50,30,26,56,19,18,10,7
Caleb Swanigan,Sacramento Kings,12,1,6,50,7,15,4,0
Cameron Payne,Cleveland Cavaliers,82,22,25,59,93,38,23,7
Caris LeVert,Brooklyn Nets,97,19,44,60,52,30,17,5
Carmelo Anthony,Houston Rockets,49,21,15,54,5,8,4,7
Cedi Osman,Cleveland Cavaliers,172,58,78,195,91,67,25,7
Chandler Hutchison,Chicago Bulls,69,9,16,136,26,21,16,4
Chandler Parsons,Memphis Grizzlies,7,3,0,4,2,2,1,1
Channing Frye,Cleveland Cavaliers,25,20,6,31,10,9,4,3
Chasson Randle,Washington Wizards,29,13,16,17,25,16,8,1
Cheick Diallo,New Orleans Pelicans,39,0,18,102,9,19,11,13
Chimezie Metu,San Antonio Spurs,16,0,12,26,11,10,5,2
Chris Boucher,Toronto Raptors,13,8,6,18,0,2,2,13
Chris Paul,Houston Rockets,137,53,78,105,208,77,54,8
Christian Wood,New Orleans Pelicans,9,2,5,16,2,2,0,0
Clint Capela,Houston Rockets,307,0,108,518,59,65,25,77
Cody Zeller,Charlotte Hornets,129,5,64,218,74,45,25,28
Collin Sexton,Cleveland Cavaliers,242,36,107,128,122,98,21,3
Cory Joseph,Indiana Pacersiana Pacers,126,35,14,149,160,51,50,9
Courtney Lee,Dallas Mavericks,20,5,8,24,14,4,8,2
Cristiano Felicio,Chicago Bulls,33,0,17,79,14,13,3,2
D'Angelo Russell,Brooklyn Nets,309,103,67,162,272,126,48,12
D.J. Augustin,Orlando Magic,146,66,102,86,194,58,22,0
D.J. Wilson,Milwaukee Bucks,28,12,8,65,11,5,7,5
DJ Stephens,Memphis Grizzlies,1,0,0,0,0,1,1,0
Damian Jones,Golden State Warriors,53,0,24,75,28,16,12,25
Damian Lillard,Portland Trail Blazers,364,126,255,195,263,120,44,23
Damion Lee,Golden State Warriors,27,13,11,29,3,8,8,0
Damyean Dotson,New York Knicks,123,45,27,121,39,23,32,4
Daniel Hamilton,Atlanta Hawks,18,5,3,34,17,12,4,0
Daniel Theis,Boston Celtics,83,15,35,133,35,21,9,19
Danilo Gallinari,Los Angeles Clippers,237,96,208,245,101,53,28,12
Danny Green,Toronto Raptors,145,91,16,173,55,46,38,35
Dante Cunningham,San Antonio Spurs,54,25,10,157,37,18,21,12
Dante Exum,Utah Jazz,101,18,68,65,107,46,14,5
Danuel House Jr.,Houston Rockets,60,32,45,84,23,19,13,10
Dario Saric,Minnesota Timberwolves,152,57,65,236,67,54,21,6
Darius Miller,New Orleans Pelicans,88,65,23,57,62,30,24,10
Darren Collison,Indiana Pacersiana Pacers,143,38,58,117,235,60,62,7
Daryl Macon,Dallas Mavericks,0,0,0,0,0,0,0,0
David Nwaba,Cleveland Cavaliers,42,9,32,58,15,9,13,7
Davis Bertans,San Antonio Spurs,99,73,23,129,44,20,18,14
Davon Reed,Indiana Pacersiana Pacers,0,0,0,0,0,0,0,0
De'Aaron Fox,Sacramento Kings,272,48,158,147,307,129,75,23
De'Anthony Melton,Phoenix Suns,63,22,13,70,82,45,41,12
DeAndre Jordan,New York Knicks,170,0,116,587,85,101,30,45
DeAndre' Bembry,Atlanta Hawks,140,31,46,179,110,70,55,25
DeMar DeRozan,San Antonio Spurs,364,7,218,266,278,108,45,21
DeMarre Carroll,Brooklyn Nets,104,52,80,154,34,35,11,3
DeVaughn Akoon-Purcell,Denver Nuggets,3,0,1,4,6,2,2,0
Deandre Ayton,Phoenix Suns,311,0,87,456,93,80,33,39
Delon Wright,Memphis Grizzlies,98,26,31,99,85,28,34,11
Demetrius Jackson,Philadelphia 76ers,8,2,4,3,5,1,2,0
Dennis Schroder,Oklahoma City Thunder,232,52,92,149,175,104,37,7
Dennis Smith Jr.,New York Knicks,132,39,49,73,108,86,38,10
Deonte Burton,Oklahoma City Thunder,20,4,5,16,5,7,3,5
Derrick Favors,Utah Jazz,187,12,86,296,45,47,31,55
Derrick Jones Jr.,Miami Heat,79,16,36,131,14,21,26,21
Derrick Rose,Minnesota Timberwolves,244,52,85,94,159,59,23,10
Derrick White,San Antonio Spurs,113,20,42,102,118,50,33,13
Devin Booker,Phoenix Suns,272,70,156,115,215,119,33,6
Devin Harris,Dallas Mavericks,61,24,44,50,34,22,23,6
Devin Robinson,Washington Wizards,8,0,3,7,2,0,3,1
Devonte' Graham,Charlotte Hornets,34,16,13,25,49,14,15,0
Dewayne Dedmon,Atlanta Hawks,126,36,46,257,47,50,35,34
Dillon Brooks,Memphis Grizzlies,49,15,22,31,16,19,10,4
Dion Waiters,Miami Heat,12,6,0,7,10,0,2,0
Dirk Nowitzki,Dallas Mavericks,15,7,6,21,4,4,1,4
Domantas Sabonis,Indiana Pacersiana Pacers,240,5,123,388,120,93,26,20
Donovan Mitchell,Utah Jazz,306,85,122,140,141,106,63,13
Donte DiVincenzo,Milwaukee Bucks,42,17,9,56,27,18,12,6
Dorian Finney-Smith,Dallas Mavericks,112,41,45,183,28,38,40,22
Doug McDermott,Indiana Pacersiana Pacers,102,50,36,54,34,21,11,5
Dragan Bender,Phoenix Suns,9,2,6,18,7,6,1,1
Draymond Green,Golden State Warriors,79,15,26,224,191,79,45,27
Drew Eubanks,San Antonio Spurs,9,0,6,10,1,2,1,0
Duncan Robinson,Miami Heat,2,2,0,5,0,0,1,0
Dwayne Bacon,Charlotte Hornets,41,11,10,35,15,12,3,0
Dwight Howard,Washington Wizards,43,0,29,83,4,16,7,4
Dwight Powell,Dallas Mavericks,118,11,83,162,36,35,19,24
Dwyane Wade,Miami Heat,160,41,75,108,120,68,21,17
Dzanan Musa,Brooklyn Nets,6,0,0,3,1,3,2,0
E'Twaun Moore,New Orleans Pelicans,198,54,34,89,80,42,29,7
Ed Davis,Brooklyn Nets,104,0,44,370,31,35,24,16
Edmond Sumner,Indiana Pacersiana Pacers,2,1,0,3,1,4,1,0
Ekpe Udoh,Utah Jazz,24,0,6,33,11,7,3,13
Elfrid Payton,New Orleans Pelicans,50,7,15,40,61,29,12,1
Elie Okobo,Phoenix Suns,62,20,15,47,57,37,18,3
Emmanuel Mudiay,New York Knicks,191,38,82,103,142,68,29,13
Enes Freedom,Portland Trail Blazers,241,7,103,449,81,76,18,17
Eric Bledsoe,Milwaukee Bucks,238,58,84,184,230,93,57,17
Eric Gordon,Houston Rockets,178,82,63,78,69,48,16,14
Eric Moreland,Toronto Raptors,0,0,0,3,0,0,0,0
Ersan Ilyasova,Milwaukee Bucks,83,26,28,156,33,27,18,7
Evan Fournier,Orlando Magic,222,82,60,119,142,86,33,8
Evan Turner,Portland Trail Blazers,140,6,43,201,164,80,24,14
Frank Jackson,New Orleans Pelicans,50,21,20,25,18,17,5,0
Frank Kaminsky,Charlotte Hornets,46,14,22,57,25,18,5,5
Frank Mason III,Sacramento Kings,53,9,31,36,77,27,15,4
Frank Ntilikina,New York Knicks,80,30,21,67,88,47,23,11
Fred VanVleet,Toronto Raptors,143,66,56,104,177,50,35,9
Furkan Korkmaz,Philadelphia 76ers,81,40,26,88,44,21,25,2
Garrett Temple,Los Angeles Clippers,145,61,55,129,53,45,46,20
Gary Clark,Houston Rockets,30,25,6,75,14,2,11,17
Gary Harris,Denver Nuggets,146,43,65,83,69,28,26,9
Gary Trent Jr.,Portland Trail Blazers,5,3,1,4,1,1,0,1
George Hill,Milwaukee Bucks,86,22,34,65,69,26,25,3
George King,Phoenix Suns,0,0,0,1,0,0,0,0
Georges Niang,Utah Jazz,31,20,8,32,15,7,6,2
Gerald Green,Houston Rockets,114,77,22,98,16,29,14,10
Giannis Antetokounmpo,Milwaukee Bucks,378,15,239,486,228,155,49,58
Glenn Robinson III,Detroit Pistons,43,11,26,38,13,13,10,5
Goran Dragic,Miami Heat,77,22,38,43,68,35,10,4
Gordon Hayward,Boston Celtics,146,48,73,180,134,54,36,9
Gorgui Dieng,Minnesota Timberwolves,90,9,45,173,34,30,21,25
Grayson Allen,Utah Jazz,20,11,18,5,7,10,1,0
Greg Monroe,Philadelphia 76ers,56,0,25,117,11,20,9,6
Guerschon Yabusele,Boston Celtics,17,4,9,24,9,7,5,5
Hamidou Diallo,Oklahoma City Thunder,67,4,29,80,15,19,16,9
Harrison Barnes,Sacramento Kings,230,99,130,158,41,52,31,10
Harry Giles III,Sacramento Kings,70,0,20,93,38,35,23,10
Hassan Whiteside,Miami Heat,189,2,63,439,28,57,21,86
Haywood Highsmith,Philadelphia 76ers,1,1,0,0,1,0,0,0
Henry Ellenson,New York Knicks,4,2,2,9,1,0,0,0
Ian Clark,New Orleans Pelicans,43,18,11,43,39,22,7,4
Ian Mahinmi,Washington Wizards,33,1,38,93,19,15,19,14
Ike Anigbogu,Indiana Pacersiana Pacers,0,0,0,3,1,1,0,1
Iman Shumpert,Houston Rockets,107,61,27,92,64,25,40,11
Isaac Bonga,Los Angeles Lakers,2,0,2,4,4,2,3,0
Isaiah Briscoe,Orlando Magic,18,4,6,14,19,9,2,0
Isaiah Canaan,Milwaukee Bucks,51,25,15,49,62,29,12,0
Isaiah Hartenstein,Houston Rockets,17,2,11,35,11,12,4,9
Ish Smith,Detroit Pistons,85,25,8,42,66,25,10,6
Ivan Rabb,Memphis Grizzlies,15,0,5,33,10,10,1,2
Ivica Zubac,Los Angeles Clippers,59,0,24,92,15,15,4,17
J.J. Barea,Dallas Mavericks,161,38,55,95,211,72,22,1
J.P. Macura,Charlotte Hornets,2,0,0,2,2,0,0,0
JJ Redick,Philadelphia 76ers,254,119,125,92,115,57,16,8
JR Smith,Cleveland Cavaliers,27,12,8,18,21,11,11,3
JaMychal Green,Los Angeles Clippers,116,25,41,194,24,49,26,19
JaVale McGee,Los Angeles Lakers,182,1,43,247,30,57,26,84
Jabari Parker,Washington Wizards,178,27,63,204,67,77,18,10
Jacob Evans,Golden State Warriors,6,1,0,8,11,5,1,1
Jae Crowder,Utah Jazz,166,85,92,200,68,39,30,17
Jahlil Okafor,New Orleans Pelicans,45,0,22,60,7,10,4,7
Jake Layman,Portland Trail Blazers,69,23,14,82,15,17,16,8
Jakob Poeltl,San Antonio Spurs,93,0,32,196,48,31,6,28
Jalen Brunson,Dallas Mavericks,86,19,26,56,72,26,20,0
Jalen Jones,Cleveland Cavaliers,26,10,19,34,7,8,9,2
Jamal Crawford,Phoenix Suns,82,27,48,44,119,56,14,7
Jamal Murray,Denver Nuggets,283,69,104,183,198,101,33,17
James Ennis III,Philadelphia 76ers,74,32,25,74,19,17,23,11
James Harden,Houston Rockets,376,187,358,232,330,215,76,24
James Johnson,Miami Heat,78,24,20,80,53,25,14,7
James Nunnally,Houston Rockets,9,5,4,4,5,1,1,0
Jared Dudley,Brooklyn Nets,77,39,22,120,65,37,28,13
Jared Terrell,Minnesota Timberwolves,1,1,1,2,2,3,2,1
Jarell Martin,Orlando Magic,23,4,7,43,11,8,2,6
Jaren Jackson Jr.,Memphis Grizzlies,210,34,95,190,48,67,38,63
Jaron Blossomgame,Cleveland Cavaliers,29,9,6,62,8,8,6,4
Jarrett Allen,Brooklyn Nets,184,4,113,347,59,55,24,62
Jason Smith,New Orleans Pelicans,18,6,10,45,12,10,2,7
Jawun Evans,Oklahoma City Thunder,2,0,0,10,8,4,2,0
Jaylen Adams,Atlanta Hawks,2,2,0,3,4,1,1,1
Jaylen Brown,Boston Celtics,165,38,64,147,56,53,29,21
Jaylen Morris,Milwaukee Bucks,4,1,1,5,4,1,2,0
Jayson Tatum,Boston Celtics,243,71,106,258,72,62,44,27
Jeff Green,Washington Wizards,168,54,87,198,71,49,23,19
Jeff Teague,Minnesota Timberwolves,109,26,81,66,224,64,32,13
Jerami Grant,Oklahoma City Thunder,197,43,80,204,35,38,34,52
Jeremy Lamb,Charlotte Hornets,213,50,104,212,72,33,40,9
Jeremy Lin,Toronto Raptors,137,35,107,92,134,74,31,5
Jerian Grant,Orlando Magic,61,26,15,68,117,40,33,3
Jerome Robinson,Los Angeles Clippers,9,5,0,3,1,1,0,0
Jerryd Bayless,Minnesota Timberwolves,5,3,1,5,10,5,2,0
Jevon Carter,Memphis Grizzlies,10,4,0,10,14,7,8,1
Jimmy Butler,Philadelphia 76ers,233,44,154,168,121,53,70,21
Joakim Noah,Memphis Grizzlies,25,0,13,54,17,20,5,9
Joe Harris,Brooklyn Nets,195,97,47,144,95,61,22,7
Joe Ingles,Utah Jazz,185,87,47,177,202,96,66,10
Joel Embiid,Philadelphia 76ers,356,46,319,538,140,140,23,75
John Collins,Atlanta Hawks,202,21,71,274,60,59,6,11
John Henson,Cleveland Cavaliers,31,11,6,71,14,12,7,11
John Holland,Cleveland Cavaliers,0,0,0,0,0,0,0,0
John Wall,Washington Wizards,245,51,122,116,279,121,49,29
Johnathan Motley,Los Angeles Clippers,4,0,4,4,0,1,0,0
Johnathan Williams,Los Angeles Lakers,11,0,1,21,4,2,1,4
Jon Leuer,Detroit Pistons,49,0,20,74,10,17,10,3
Jonah Bolden,Philadelphia 76ers,25,4,7,57,11,16,5,12
Jonas Jerebko,Golden State Warriors,111,48,46,210,70,33,16,9
Jonas Valanciunas,Memphis Grizzlies,149,9,77,216,29,39,13,23
Jonathan Isaac,Orlando Magic,97,25,58,162,28,38,28,39
Jonathon Simmons,Philadelphia 76ers,91,15,49,80,77,49,16,13
Jordan Bell,Golden State Warriors,48,0,14,105,48,21,14,32
Jordan Clarkson,Cleveland Cavaliers,285,75,75,138,94,71,33,9
Jordan Loyd,Toronto Raptors,3,2,4,5,1,1,0,0
Jordan McRae,Washington Wizards,2,0,0,5,2,0,1,1
Jose Calderon,Detroit Pistons,35,9,5,50,89,27,14,3
Josh Hart,Los Angeles Lakers,143,72,43,170,62,40,49,27
Josh Jackson,Phoenix Suns,158,31,60,172,97,101,44,24
Josh Okogie,Minnesota Timberwolves,78,24,51,101,38,30,29,15
Josh Richardson,Miami Heat,245,99,118,151,148,70,43,21
Jrue Holiday,New Orleans Pelicans,335,70,129,192,347,148,72,31
Juancho Hernangomez,Denver Nuggets,118,59,61,210,39,30,17,19
Julius Randle,New Orleans Pelicans,300,24,188,381,117,101,24,24
Justin Anderson,Atlanta Hawks,26,6,10,37,11,12,9,7
Justin Holiday,Memphis Grizzlies,155,97,45,176,88,49,67,23
Justin Jackson,Dallas Mavericks,110,49,36,123,55,18,18,9
Justise Winslow,Miami Heat,156,44,52,182,145,71,39,10
Jusuf Nurkic,Portland Trail Blazers,247,3,158,448,126,98,48,59
Karl-Anthony Towns,Minnesota Timberwolves,342,72,182,514,124,122,36,81
Kawhi Leonard,Toronto Raptors,322,59,218,270,106,69,63,17
Keita Bates-Diop,Minnesota Timberwolves,2,0,0,3,0,0,0,1
Kelly Olynyk,Miami Heat,115,57,81,169,73,52,26,14
Kelly Oubre Jr.,Phoenix Suns,184,57,93,164,33,48,37,31
Kemba Walker,Charlotte Hornets,350,130,191,176,235,103,50,19
Kenneth Faried,Houston Rockets,25,1,10,44,2,6,2,4
Kenrich Williams,New Orleans Pelicans,6,1,2,11,2,3,1,0
Kent Bazemore,Atlanta Hawks,177,54,82,139,92,73,60,32
Kentavious Caldwell-Pope,Los Angeles Lakers,143,70,77,114,46,27,34,5
Kevin Durant,Golden State Warriors,408,77,292,308,257,141,33,44
Kevin Huerter,Atlanta Hawks,131,63,25,128,99,61,31,16
Kevin Knox II,New York Knicks,149,57,70,144,32,44,18,11
Kevin Love,Cleveland Cavaliers,21,7,27,54,14,10,1,1
Kevon Looney,Golden State Warriors,122,1,34,235,78,28,18,33
Khem Birch,Orlando Magic,13,0,13,34,5,3,6,5
Khris Middleton,Milwaukee Bucks,241,101,113,219,161,85,48,3
Khyri Thomas,Detroit Pistons,9,6,6,9,3,2,3,0
Klay Thompson,Golden State Warriors,358,116,85,173,84,68,52,30
Kosta Koufos,Sacramento Kings,48,0,5,130,26,19,12,11
Kris Dunn,Chicago Bulls,92,9,22,72,108,39,22,3
Kyle Anderson,Memphis Grizzlies,139,9,34,238,123,51,52,35
Kyle Korver,Utah Jazz,100,67,30,69,35,31,11,8
Kyle Kuzma,Los Angeles Lakers,289,74,109,237,97,78,26,18
Kyle Lowry,Toronto Raptors,159,70,77,141,316,89,49,16
Kyle O'Quinn,Indiana Pacersiana Pacers,33,1,9,59,29,15,3,13
Kyrie Irving,Boston Celtics,321,95,100,177,238,94,60,16
LaMarcus Aldridge,San Antonio Spurs,350,2,187,369,104,81,23,50
Lance Stephenson,Los Angeles Lakers,119,41,23,127,84,50,27,5
Lance Thomas,New York Knicks,21,5,11,44,9,10,11,3
Landry Shamet,Los Angeles Clippers,118,76,35,64,37,21,20,6
Langston Galloway,Detroit Pistons,117,67,38,95,44,15,18,3
Larry Nance Jr.,Cleveland Cavaliers,136,13,60,292,124,51,58,26
Lauri Markkanen,Chicago Bulls,117,44,36,136,20,34,19,14
LeBron James,Los Angeles Lakers,340,68,180,283,243,116,44,24
Lonnie Walker IV,San Antonio Spurs,1,1,0,1,0,0,0,0
Lonzo Ball,Los Angeles Lakers,161,66,19,225,220,94,63,18
Lorenzo Brown,Toronto Raptors,23,6,3,31,28,16,12,5
Lou Williams,Los Angeles Clippers,218,50,200,97,183,86,21,4
Luc Mbah a Moute,Los Angeles Clippers,8,2,2,7,2,2,1,1
Luka Doncic,Dallas Mavericks,269,98,186,275,207,132,46,11
Luke Kennard,Detroit Pistons,61,25,11,61,29,16,7,4
Luke Kornet,New York Knicks,40,29,11,49,24,10,6,11
Luol Deng,Minnesota Timberwolves,5,0,2,12,1,2,3,1
Malachi Richardson,Toronto Raptors,8,7,4,13,0,8,1,0
Malcolm Brogdon,Milwaukee Bucks,227,61,81,177,134,66,23,9
Malik Beasley,Denver Nuggets,148,65,20,102,50,22,26,6
Malik Monk,Charlotte Hornets,138,64,65,65,71,47,22,10
MarShon Brooks,Memphis Grizzlies,76,15,23,45,25,21,9,4
Marc Gasol,Toronto Raptors,229,62,124,355,184,89,53,57
Marcin Gortat,Los Angeles Clippers,74,0,31,197,55,38,6,20
Marco Belinelli,San Antonio Spurs,145,76,60,96,77,33,21,6
Marcus Derrickson,Golden State Warriors,6,2,3,4,0,3,0,1
Marcus Morris Sr.,Boston Celtics,203,86,82,220,53,49,22,11
Marcus Smart,Boston Celtics,102,55,56,115,168,59,73,15
Mario Hezonja,New York Knicks,106,27,36,120,34,41,33,5
Markelle Fultz,Orlando Magic,65,4,21,70,59,25,17,5
Markieff Morris,Oklahoma City Thunder,143,48,57,174,60,47,25,20
Marquese Chriss,Cleveland Cavaliers,10,1,2,17,5,7,2,3
Marvin Bagley III,Sacramento Kings,131,9,77,172,26,45,13,28
Marvin Williams,Charlotte Hornets,146,77,34,225,45,22,34,28
Mason Plumlee,Denver Nuggets,125,1,47,240,97,63,42,36
Matthew Dellavedova,Cleveland Cavaliers,51,26,17,32,84,37,6,0
Maurice Harkless,Portland Trail Blazers,62,16,13,107,19,15,23,25
Maxi Kleber,Dallas Mavericks,84,34,33,143,27,22,16,46
Melvin Frazier Jr.,Orlando Magic,0,0,0,1,0,1,1,0
Meyers Leonard,Portland Trail Blazers,83,30,29,165,49,31,11,9
Michael Beasley,Los Angeles Lakers,46,3,15,28,11,15,5,5
Michael Carter-Williams,Orlando Magic,25,7,12,13,21,10,9,6
Michael Kidd-Gilchrist,Charlotte Hornets,100,7,55,159,32,26,17,29
Mikal Bridges,Phoenix Suns,116,55,37,120,67,31,60,22
Mike Conley,Memphis Grizzlies,270,86,179,133,249,71,52,16
Mike Muscala,Los Angeles Lakers,85,55,49,156,53,37,13,20
Mike Scott,Philadelphia 76ers,69,37,10,143,36,22,16,7
Miles Bridges,Charlotte Hornets,96,29,34,139,39,24,20,26
Miles Plumlee,Atlanta Hawks,32,0,16,39,17,10,6,4
Milos Teodosic,Los Angeles Clippers,17,10,4,16,32,21,3,1
Mitchell Robinson,New York Knicks,57,0,17,109,18,16,19,51
Mo Bamba,Orlando Magic,99,18,29,194,35,34,12,54
Monte Morris,Denver Nuggets,160,47,33,104,159,28,39,2
Montrezl Harrell,Los Angeles Clippers,252,1,138,275,66,54,38,58
Moritz Wagner,Los Angeles Lakers,16,7,6,22,7,7,2,1
Myles Turner,Indiana Pacersiana Pacers,197,27,57,262,66,60,16,103
Naz Mitrou-Long,Utah Jazz,2,1,0,0,1,3,0,0
Nemanja Bjelica,Sacramento Kings,171,64,47,258,87,56,33,35
Nene,Houston Rockets,27,0,14,59,11,4,6,5
Nerlens Noel,Oklahoma City Thunder,81,0,35,178,21,23,39,56
Nick Young,Denver Nuggets,3,3,0,1,2,2,0,1
Nicolas Batum,Charlotte Hornets,135,55,37,211,139,65,36,17
Nik Stauskas,Cleveland Cavaliers,92,41,32,77,61,39,13,4
Nikola Jokic,Denver Nuggets,290,44,142,409,303,131,58,30
Nikola Mirotic,Milwaukee Bucks,157,67,70,235,27,32,19,16
Nikola Vucevic,Orlando Magic,336,48,87,478,148,80,41,46
Noah Vonleh,New York Knicks,127,37,75,362,88,59,35,38
Norman Powell,Toronto Raptors,61,18,18,47,29,17,13,6
O.G. Anunoby,Toronto Raptors,115,45,12,114,28,26,24,10
Okaro White,Washington Wizards,0,0,0,2,0,0,0,0
Omari Spellman,Atlanta Hawks,50,20,23,100,23,17,17,14
Omri Casspi,Memphis Grizzlies,57,10,27,85,22,14,10,6
Otto Porter Jr.,Chicago Bulls,148,46,35,170,62,32,47,18
P.J. Dozier,Boston Celtics,3,1,0,4,0,0,0,0
P.J. Tucker,Houston Rockets,114,80,21,252,49,35,50,16
Pascal Siakam,Toronto Raptors,252,31,111,285,121,76,41,29
Pat Connaughton,Milwaukee Bucks,61,25,14,99,55,11,13,15
Patrick Beverley,Los Angeles Clippers,90,51,49,154,137,44,24,16
Patrick McCaw,Toronto Raptors,2,1,0,3,2,3,2,0
Patrick Patterson,Oklahoma City Thunder,56,32,18,103,21,14,13,10
Patty Mills,San Antonio Spurs,136,75,57,105,120,48,29,8
Pau Gasol,Milwaukee Bucks,25,4,16,77,35,8,2,12
Paul George,Oklahoma City Thunder,369,135,203,320,155,108,88,22
Paul Millsap,Denver Nuggets,151,24,90,216,63,45,42,31
Quincy Acy,Phoenix Suns,0,0,0,1,0,0,0,0
Quincy Pondexter,San Antonio Spurs,17,5,25,34,15,9,8,1
Quinn Cook,Golden State Warriors,115,46,14,86,65,30,14,3
Rajon Rondo,Los Angeles Lakers,50,10,8,62,94,30,14,0
Raul Neto,Utah Jazz,36,9,13,29,38,18,8,0
Rawle Alkins,Chicago Bulls,1,1,0,3,2,0,1,0
Ray Spalding,Phoenix Suns,0,0,0,0,0,0,0,0
Raymond Felton,Oklahoma City Thunder,28,6,8,21,27,11,6,4
Reggie Bullock,Los Angeles Lakers,131,79,44,78,74,36,17,3
Reggie Jackson,Detroit Pistons,200,78,115,109,169,78,26,6
Richaun Holmes,Phoenix Suns,132,0,64,183,34,32,28,48
Ricky Rubio,Utah Jazz,181,56,94,142,246,122,53,9
Robert Covington,Minnesota Timberwolves,156,85,68,193,46,47,74,47
Robert Williams III,Boston Celtics,26,0,6,52,4,8,5,28
Robin Lopez,Chicago Bulls,86,4,21,86,33,50,6,29
Rodions Kurucs,Brooklyn Nets,89,25,39,97,18,31,14,9
Rodney Hood,Portland Trail Blazers,160,45,78,87,69,31,30,4
Rodney McGruder,Los Angeles Clippers,145,61,37,159,89,50,26,7
Ron Baker,Washington Wizards,4,1,5,11,15,5,6,1
Rondae Hollis-Jefferson,Brooklyn Nets,123,8,83,196,65,42,28,18
Royce O'Neale,Utah Jazz,70,27,16,125,49,36,24,8
Rudy Gay,San Antonio Spurs,190,39,56,230,84,53,31,21
Rudy Gobert,Utah Jazz,237,0,157,536,85,63,40,86
Russell Westbrook,Oklahoma City Thunder,277,36,113,358,353,155,83,11
Ryan Anderson,Miami Heat,19,7,11,45,17,12,3,1
Ryan Arcidiacono,Chicago Bulls,88,54,29,102,147,34,42,1
Ryan Broekhoff,Dallas Mavericks,16,9,2,15,6,5,1,2
Salah Mejri,Dallas Mavericks,13,0,5,28,6,3,2,1
Sam Dekker,Washington Wizards,76,10,15,84,23,11,27,4
Semi Ojeleye,Boston Celtics,43,17,11,53,11,11,6,2
Serge Ibaka,Toronto Raptors,266,31,79,293,60,75,21,56
Seth Curry,Portland Trail Blazers,81,52,7,48,31,29,13,4
