PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Aaron Gordon,Orlando Magic,226,60,81,293,130,68,31,28
Aaron Holiday,Indiana Pacersiana Pacers,48,15,23,38,35,16,11,8
Abdel Nader,Oklahoma City Thunder,31,9,4,32,4,9,5,1
Al Horford,Boston Celtics,156,38,24,198,123,48,24,44
Al-Farouq Aminu,Portland Trail Blazers,137,58,72,344,44,35,41,18
Alan Williams,Brooklyn Nets,3,0,2,8,2,1,0,0
Alec Burks,Sacramento Kings,142,48,85,141,83,43,24,16
Alex Abrines,Oklahoma City Thunder,55,40,12,47,20,14,17,6
Alex Caruso,Los Angeles Lakers,0,0,0,1,0,0,0,0
Alex Len,Atlanta Hawks,147,20,70,211,35,59,12,38
Alex Poythress,Atlanta Hawks,35,7,11,59,13,10,3,8
Alfonzo McKinnie,Golden State Warriors,67,22,14,125,15,16,6,6
Alize Johnson,Indiana Pacersiana Pacers,1,0,1,7,0,0,0,1
Allen Crabbe,Brooklyn Nets,85,65,30,97,30,32,17,8
Allonzo Trier,New York Knicks,121,21,85,98,63,61,13,12
Amile Jefferson,Orlando Magic,0,0,2,1,0,0,0,0
Amir Johnson,Philadelphia 76ers,48,8,19,84,39,30,10,7
Andre Drummond,Detroit Pistons,281,4,103,595,50,104,62,71
Andre Iguodala,Golden State Warriors,73,28,23,131,109,31,29,30
Andrew Harrison,New Orleans Pelicans,16,5,17,20,24,12,4,2
Andrew Wiggins,Minnesota Timberwolves,246,64,124,157,90,63,41,22
Anfernee Simons,Portland Trail Blazers,7,0,1,7,4,6,0,0
Ante Zizic,Cleveland Cavaliers,48,0,32,99,15,21,4,8
Anthony Davis,New Orleans Pelicans,384,35,267,490,164,75,66,99
Anthony Tolliver,Minnesota Timberwolves,40,32,13,55,17,17,10,10
Antonio Blakeney,Chicago Bulls,114,30,37,62,19,23,10,6
Aron Baynes,Boston Celtics,47,12,31,106,30,18,4,11
Austin Rivers,Houston Rockets,117,56,30,97,86,46,22,12
Avery Bradley,Memphis Grizzlies,108,31,14,84,66,44,21,14
Bam Adebayo,Miami Heat,121,1,76,272,86,50,29,34
Ben McLemore,Sacramento Kings,22,15,6,15,4,4,6,2
Ben Simmons,Philadelphia 76ers,280,0,134,383,343,145,57,31
Bismack Biyombo,Charlotte Hornets,26,0,10,61,6,8,4,14
