Visitor/Neutral,PTS,Home/Neutral,PTS
Memphis Grizzlies,95,New Orleans Pelicans,114
Los Angeles Lakers,107,Dallas Mavericks,97
New York Knicks,101,Portland Trail Blazers,111
Orlando Magic,95,Sacramento Kings,111
Indiana Pacers,123,Cleveland Cavaliers,115
Washington Wizards,115,Philadelphia 76ers,132
Denver Nuggets,103,Miami Heat,99
Atlanta Hawks,101,Toronto Raptors,104
Minnesota Timberwolves,119,Oklahoma City Thunder,117
Sacramento Kings,111,Phoenix Suns,115
New York Knicks,95,Golden State Warriors,122
Charlotte Hornets,109,Los Angeles Clippers,128
Indiana Pacers,108,Boston Celtics,135
Philadelphia 76ers,106,Washington Wizards,123
Atlanta Hawks,100,Brooklyn Nets,116
Milwaukee Bucks,116,Houston Rockets,109
San Antonio Spurs,86,Memphis Grizzlies,96
Cleveland Cavaliers,124,New Orleans Pelicans,140
Phoenix Suns,94,Dallas Mavericks,104
Orlando Magic,93,Utah Jazz,106
Chicago Bulls,112,Portland Trail Blazers,124
Detroit Pistons,100,Los Angeles Lakers,113
Boston Celtics,99,Miami Heat,115
Los Angeles Clippers,100,Denver Nuggets,121
Oklahoma City Thunder,147,San Antonio Spurs,154
Detroit Pistons,102,Sacramento Kings,112
Atlanta Hawks,123,Philadelphia 76ers,121
Milwaukee Bucks,106,Washington Wizards,113
Indiana Pacers,121,New York Knicks,106
Brooklyn Nets,105,Toronto Raptors,122
Cleveland Cavaliers,113,Houston Rockets,141
Dallas Mavericks,119,Minnesota Timberwolves,115
Charlotte Hornets,96,Portland Trail Blazers,127
Los Angeles Lakers,95,Utah Jazz,113
Chicago Bulls,109,Golden State Warriors,146
